GeneId                                                    SourceOrg                        SourceSeq                        SourceSO    Direction  TseBegin   TseEnd     AraBegin   AraEnd     Foundby
LinfantumJPCM5_LinJ.34_77                                 LinfantumJPCM5                   LinJ.34                          chromosome  -          1360663    1360746    1360663    1360746    both   
LinfantumJPCM5_LinJ.34_78                                 LinfantumJPCM5                   LinJ.34                          chromosome  -          1360808    1360879    1360808    1360879    both   
LinfantumJPCM5_LinJ.34_79                                 LinfantumJPCM5                   LinJ.34                          chromosome  +          1360960    1361031    1360960    1361031    both   
LinfantumJPCM5_LinJ.34_80                                 LinfantumJPCM5                   LinJ.34                          chromosome  +          1361094    1361166    1361094    1361167    both   
LinfantumJPCM5_LinJ.34_81                                 LinfantumJPCM5                   LinJ.34                          chromosome  -          -1         -1         386082     386234     ara    
LinfantumJPCM5_LinJ.34_82                                 LinfantumJPCM5                   LinJ.34                          chromosome  -          473040     473113     473039     473113     both   
LinfantumJPCM5_LinJ.34_83                                 LinfantumJPCM5                   LinJ.34                          chromosome  +          473338     473411     473338     473412     both   
LinfantumJPCM5_LinJ.34_84                                 LinfantumJPCM5                   LinJ.34                          chromosome  +          473468     473540     473468     473540     both   
LinfantumJPCM5_LinJ.34_85                                 LinfantumJPCM5                   LinJ.34                          chromosome  -          473574     473653     473572     473653     both   
LinfantumJPCM5_LinJ.34_86                                 LinfantumJPCM5                   LinJ.34                          chromosome  +          473728     473808     473728     473808     both   
LinfantumJPCM5_LinJ.35_87                                 LinfantumJPCM5                   LinJ.35                          chromosome  -          -1         -1         389207     389382     ara    
LinfantumJPCM5_LinJ.35_88                                 LinfantumJPCM5                   LinJ.35                          chromosome  -          -1         -1         578009     578186     ara    
LinfantumJPCM5_LinJ.36_89                                 LinfantumJPCM5                   LinJ.36                          chromosome  +          1023377    1023447    1023377    1023448    both   
LinfantumJPCM5_LinJ.36_90                                 LinfantumJPCM5                   LinJ.36                          chromosome  -          1024003    1024074    1024003    1024074    both   
LinfantumJPCM5_LinJ.36_91                                 LinfantumJPCM5                   LinJ.36                          chromosome  -          1024141    1024211    1024141    1024211    both   
LinfantumJPCM5_LinJ.36_92                                 LinfantumJPCM5                   LinJ.36                          chromosome  +          1024284    1024355    1024284    1024355    both   
LinfantumJPCM5_LinJ.36_93                                 LinfantumJPCM5                   LinJ.36                          chromosome  -          1605166    1605237    1605165    1605238    both   
LinfantumJPCM5_LinJ.36_94                                 LinfantumJPCM5                   LinJ.36                          chromosome  -          -1         -1         2161538    2161697    ara    
LinfantumJPCM5_LinJ.36_95                                 LinfantumJPCM5                   LinJ.36                          chromosome  +          2461342    2461413    2461342    2461413    both   
LinfantumJPCM5_LinJ.36_96                                 LinfantumJPCM5                   LinJ.36                          chromosome  -          2462204    2462285    2462204    2462285    both   
LinfantumJPCM5_LinJ.36_97                                 LinfantumJPCM5                   LinJ.36                          chromosome  -          2462347    2462418    2462347    2462418    both   
LinfantumJPCM5_LinJ.36_98                                 LinfantumJPCM5                   LinJ.36                          chromosome  +          2462492    2462563    2462492    2462564    both   
LinfantumJPCM5_LinJ.36_99                                 LinfantumJPCM5                   LinJ.36                          chromosome  -          485256     485339     485255     485339     both   
LinfantumJPCM5_LinJ.36_100                                LinfantumJPCM5                   LinJ.36                          chromosome  -          485421     485492     485421     485492     both   
LinfantumJPCM5_LinJ.36_101                                LinfantumJPCM5                   LinJ.36                          chromosome  +          486371     486442     486371     486442     both   
LinfantumJPCM5_LinJ.36_102                                LinfantumJPCM5                   LinJ.36                          chromosome  +          486524     486607     486524     486608     both   
LmajorFriedlin_LmjF.02_1                                  LmajorFriedlin                   LmjF.02                          chromosome  +          -1         -1         232308     232399     ara    
LmajorFriedlin_LmjF.03_2                                  LmajorFriedlin                   LmjF.03                          chromosome  +          259299     259371     259299     259372     both   
LmajorFriedlin_LmjF.04_3                                  LmajorFriedlin                   LmjF.04                          chromosome  -          -1         -1         106317     106400     ara    
LmajorFriedlin_LmjF.04_4                                  LmajorFriedlin                   LmjF.04                          chromosome  -          -1         -1         233119     233323     ara    
LmajorFriedlin_LmjF.05_5                                  LmajorFriedlin                   LmjF.05                          chromosome  +          359953     360024     359953     360024     both   
LmajorFriedlin_LmjF.06_6                                  LmajorFriedlin                   LmjF.06                          chromosome  -          -1         -1         109055     109145     ara    
LmajorFriedlin_LmjF.06_7                                  LmajorFriedlin                   LmjF.06                          chromosome  -          69587      69674      69587      69674      both   
LmajorFriedlin_LmjF.07_8                                  LmajorFriedlin                   LmjF.07                          chromosome  -          381406     381477     381406     381477     both   
LmajorFriedlin_LmjF.09_9                                  LmajorFriedlin                   LmjF.09                          chromosome  +          277080     277151     277080     277151     both   
LmajorFriedlin_LmjF.09_10                                 LmajorFriedlin                   LmjF.09                          chromosome  +          277210     277292     277210     277293     both   
LmajorFriedlin_LmjF.09_11                                 LmajorFriedlin                   LmjF.09                          chromosome  +          405536     405608     405535     405610     both   
LmajorFriedlin_LmjF.09_12                                 LmajorFriedlin                   LmjF.09                          chromosome  +          405863     405933     405863     405934     both   
LmajorFriedlin_LmjF.09_13                                 LmajorFriedlin                   LmjF.09                          chromosome  -          406114     406186     406114     406186     both   
LmajorFriedlin_LmjF.09_14                                 LmajorFriedlin                   LmjF.09                          chromosome  -          418490     418561     418490     418561     both   
LmajorFriedlin_LmjF.09_15                                 LmajorFriedlin                   LmjF.09                          chromosome  -          418801     418873     418799     418874     both   
LmajorFriedlin_LmjF.09_16                                 LmajorFriedlin                   LmjF.09                          chromosome  +          418948     419019     418948     419020     both   
LmajorFriedlin_LmjF.09_17                                 LmajorFriedlin                   LmjF.09                          chromosome  +          419086     419156     419086     419157     both   
LmajorFriedlin_LmjF.10_18                                 LmajorFriedlin                   LmjF.10                          chromosome  +          533083     533155     533083     533156     both   
LmajorFriedlin_LmjF.10_19                                 LmajorFriedlin                   LmjF.10                          chromosome  -          533198     533268     533198     533268     both   
LmajorFriedlin_LmjF.10_20                                 LmajorFriedlin                   LmjF.10                          chromosome  -          533325     533397     533325     533397     both   
LmajorFriedlin_LmjF.11_21                                 LmajorFriedlin                   LmjF.11                          chromosome  -          156961     157042     156960     157042     both   
LmajorFriedlin_LmjF.11_22                                 LmajorFriedlin                   LmjF.11                          chromosome  +          157116     157187     157116     157188     both   
LmajorFriedlin_LmjF.11_23                                 LmajorFriedlin                   LmjF.11                          chromosome  +          157249     157319     157249     157320     both   
LmajorFriedlin_LmjF.11_24                                 LmajorFriedlin                   LmjF.11                          chromosome  -          162726     162797     162725     162797     both   
LmajorFriedlin_LmjF.11_25                                 LmajorFriedlin                   LmjF.11                          chromosome  +          162871     162952     162871     162953     both   
LmajorFriedlin_LmjF.11_26                                 LmajorFriedlin                   LmjF.11                          chromosome  -          381342     381414     381341     381415     both   
LmajorFriedlin_LmjF.11_27                                 LmajorFriedlin                   LmjF.11                          chromosome  +          381491     381562     381490     381564     both   
LmajorFriedlin_LmjF.11_28                                 LmajorFriedlin                   LmjF.11                          chromosome  +          -1         -1         511690     511869     ara    
LmajorFriedlin_LmjF.13_29                                 LmajorFriedlin                   LmjF.13                          chromosome  -          -1         -1         268686     268773     ara    
LmajorFriedlin_LmjF.15_30                                 LmajorFriedlin                   LmjF.15                          chromosome  +          322951     323022     322951     323023     both   
LmajorFriedlin_LmjF.15_31                                 LmajorFriedlin                   LmjF.15                          chromosome  -          323063     323134     323062     323134     both   
LmajorFriedlin_LmjF.16_32                                 LmajorFriedlin                   LmjF.16                          chromosome  +          -1         -1         138408     138479     ara    
LmajorFriedlin_LmjF.16_33                                 LmajorFriedlin                   LmjF.16                          chromosome  -          455433     455504     455431     455505     both   
LmajorFriedlin_LmjF.17_34                                 LmajorFriedlin                   LmjF.17                          chromosome  -          343982     344053     343981     344053     both   
LmajorFriedlin_LmjF.17_35                                 LmajorFriedlin                   LmjF.17                          chromosome  +          344131     344211     344131     344211     both   
LmajorFriedlin_LmjF.17_36                                 LmajorFriedlin                   LmjF.17                          chromosome  +          344273     344345     344272     344347     both   
LmajorFriedlin_LmjF.18_37                                 LmajorFriedlin                   LmjF.18                          chromosome  -          -1         -1         279792     279901     ara    
LmajorFriedlin_LmjF.18_38                                 LmajorFriedlin                   LmjF.18                          chromosome  +          -1         -1         574136     574276     ara    
LmajorFriedlin_LmjF.21_39                                 LmajorFriedlin                   LmjF.21                          chromosome  -          166347     166427     166347     166427     both   
LmajorFriedlin_LmjF.21_40                                 LmajorFriedlin                   LmjF.21                          chromosome  +          -1         -1         192893     192996     ara    
LmajorFriedlin_LmjF.21_41                                 LmajorFriedlin                   LmjF.21                          chromosome  +          -1         -1         195948     196051     ara    
LmajorFriedlin_LmjF.21_42                                 LmajorFriedlin                   LmjF.21                          chromosome  -          -1         -1         225234     225366     ara    
LmajorFriedlin_LmjF.21_43                                 LmajorFriedlin                   LmjF.21                          chromosome  +          449050     449121     449050     449121     both   
LmajorFriedlin_LmjF.21_44                                 LmajorFriedlin                   LmjF.21                          chromosome  +          449273     449346     449273     449347     both   
LmajorFriedlin_LmjF.21_45                                 LmajorFriedlin                   LmjF.21                          chromosome  +          449409     449481     449409     449482     both   
LmajorFriedlin_LmjF.21_46                                 LmajorFriedlin                   LmjF.21                          chromosome  +          -1         -1         480044     480202     ara    
LmajorFriedlin_LmjF.22_47                                 LmajorFriedlin                   LmjF.22                          chromosome  -          -1         -1         413384     413525     ara    
LmajorFriedlin_LmjF.23_48                                 LmajorFriedlin                   LmjF.23                          chromosome  -          -1         -1         149797     149909     ara    
LmajorFriedlin_LmjF.23_49                                 LmajorFriedlin                   LmjF.23                          chromosome  -          -1         -1         210418     210600     ara    
LmajorFriedlin_LmjF.23_50                                 LmajorFriedlin                   LmjF.23                          chromosome  +          225170     225243     225170     225243     both   
LmajorFriedlin_LmjF.23_51                                 LmajorFriedlin                   LmjF.23                          chromosome  -          225288     225360     225288     225360     both   
LmajorFriedlin_LmjF.23_52                                 LmajorFriedlin                   LmjF.23                          chromosome  -          225428     225499     225427     225500     both   
LmajorFriedlin_LmjF.23_53                                 LmajorFriedlin                   LmjF.23                          chromosome  -          225747     225818     225746     225819     both   
LmajorFriedlin_LmjF.23_54                                 LmajorFriedlin                   LmjF.23                          chromosome  -          226043     226125     226043     226125     both   
LmajorFriedlin_LmjF.23_55                                 LmajorFriedlin                   LmjF.23                          chromosome  -          226186     226257     226185     226258     both   
LmajorFriedlin_LmjF.23_56                                 LmajorFriedlin                   LmjF.23                          chromosome  +          226330     226401     226330     226402     both   
LmajorFriedlin_LmjF.23_57                                 LmajorFriedlin                   LmjF.23                          chromosome  +          226716     226788     226716     226788     both   
LmajorFriedlin_LmjF.23_58                                 LmajorFriedlin                   LmjF.23                          chromosome  -          226827     226898     226826     226898     both   
LmajorFriedlin_LmjF.23_59                                 LmajorFriedlin                   LmjF.23                          chromosome  +          226974     227045     226974     227045     both   
LmajorFriedlin_LmjF.23_60                                 LmajorFriedlin                   LmjF.23                          chromosome  +          -1         -1         731341     731513     ara    
LmajorFriedlin_LmjF.24_61                                 LmajorFriedlin                   LmjF.24                          chromosome  +          205316     205387     205316     205387     both   
LmajorFriedlin_LmjF.24_62                                 LmajorFriedlin                   LmjF.24                          chromosome  +          621492     621563     621491     621565     both   
LmajorFriedlin_LmjF.24_63                                 LmajorFriedlin                   LmjF.24                          chromosome  -          621777     621858     621776     621859     both   
LmajorFriedlin_LmjF.24_64                                 LmajorFriedlin                   LmjF.24                          chromosome  +          621944     622017     621944     622018     both   
LmajorFriedlin_LmjF.24_65                                 LmajorFriedlin                   LmjF.24                          chromosome  +          623339     623412     623339     623413     both   
LmajorFriedlin_LmjF.24_66                                 LmajorFriedlin                   LmjF.24                          chromosome  -          680985     681056     680985     681056     both   
LmajorFriedlin_LmjF.26_67                                 LmajorFriedlin                   LmjF.26                          chromosome  +          -1         -1         70666      70771      ara    
LmajorFriedlin_LmjF.29_68                                 LmajorFriedlin                   LmjF.29                          chromosome  -          819673     819754     819673     819754     both   
LmajorFriedlin_LmjF.29_69                                 LmajorFriedlin                   LmjF.29                          chromosome  -          819813     819893     819813     819893     both   
LmajorFriedlin_LmjF.30_70                                 LmajorFriedlin                   LmjF.30                          chromosome  -          785495     785566     785495     785566     both   
LmajorFriedlin_LmjF.31_71                                 LmajorFriedlin                   LmjF.31                          chromosome  +          -1         -1         1025392    1025468    ara    
LmajorFriedlin_LmjF.31_72                                 LmajorFriedlin                   LmjF.31                          chromosome  +          1315549    1315621    1315549    1315621    both   
LmajorFriedlin_LmjF.31_73                                 LmajorFriedlin                   LmjF.31                          chromosome  -          1315674    1315754    1315673    1315754    both   
LmajorFriedlin_LmjF.31_74                                 LmajorFriedlin                   LmjF.31                          chromosome  +          203934     204006     203934     204006     both   
LmajorFriedlin_LmjF.31_75                                 LmajorFriedlin                   LmjF.31                          chromosome  +          494626     494696     494626     494696     both   
LmajorFriedlin_LmjF.31_76                                 LmajorFriedlin                   LmjF.31                          chromosome  -          494742     494813     494741     494814     both   
LmajorFriedlin_LmjF.33_77                                 LmajorFriedlin                   LmjF.33                          chromosome  -          106657     106729     106656     106729     both   
LmajorFriedlin_LmjF.33_78                                 LmajorFriedlin                   LmjF.33                          chromosome  -          106789     106861     106788     106861     both   
LmajorFriedlin_LmjF.33_79                                 LmajorFriedlin                   LmjF.33                          chromosome  +          106938     107009     106938     107010     both   
LmajorFriedlin_LmjF.33_80                                 LmajorFriedlin                   LmjF.33                          chromosome  +          -1         -1         1172526    1172615    ara    
LmajorFriedlin_LmjF.33_81                                 LmajorFriedlin                   LmjF.33                          chromosome  -          600641     600713     600640     600714     both   
LmajorFriedlin_LmjF.34_82                                 LmajorFriedlin                   LmjF.34                          chromosome  +          -1         -1         1388241    1388336    ara    
LmajorFriedlin_LmjF.34_83                                 LmajorFriedlin                   LmjF.34                          chromosome  -          1534448    1534520    1534447    1534520    both   
LmajorFriedlin_LmjF.34_84                                 LmajorFriedlin                   LmjF.34                          chromosome  -          1534579    1534662    1534579    1534662    both   
LmajorFriedlin_LmjF.34_85                                 LmajorFriedlin                   LmjF.34                          chromosome  -          1534727    1534798    1534727    1534798    both   
LmajorFriedlin_LmjF.34_86                                 LmajorFriedlin                   LmjF.34                          chromosome  +          1534880    1534951    1534880    1534951    both   
LmajorFriedlin_LmjF.34_87                                 LmajorFriedlin                   LmjF.34                          chromosome  +          1535015    1535087    1535015    1535088    both   
LmajorFriedlin_LmjF.34_88                                 LmajorFriedlin                   LmjF.34                          chromosome  -          470125     470198     470124     470198     both   
LmajorFriedlin_LmjF.34_89                                 LmajorFriedlin                   LmjF.34                          chromosome  +          470432     470505     470432     470506     both   
LmajorFriedlin_LmjF.34_90                                 LmajorFriedlin                   LmjF.34                          chromosome  +          470567     470639     470567     470639     both   
LmajorFriedlin_LmjF.34_91                                 LmajorFriedlin                   LmjF.34                          chromosome  -          470675     470754     470675     470754     both   
LmajorFriedlin_LmjF.34_92                                 LmajorFriedlin                   LmjF.34                          chromosome  +          470829     470909     470829     470909     both   
LmajorFriedlin_LmjF.36_93                                 LmajorFriedlin                   LmjF.36                          chromosome  +          1032512    1032582    1032512    1032582    both   
LmajorFriedlin_LmjF.36_94                                 LmajorFriedlin                   LmjF.36                          chromosome  -          1033226    1033297    1033226    1033297    both   
LmajorFriedlin_LmjF.36_95                                 LmajorFriedlin                   LmjF.36                          chromosome  -          1033360    1033430    1033360    1033430    both   
LmajorFriedlin_LmjF.36_96                                 LmajorFriedlin                   LmjF.36                          chromosome  +          1033504    1033575    1033504    1033575    both   
LmajorFriedlin_LmjF.36_97                                 LmajorFriedlin                   LmjF.36                          chromosome  -          1607643    1607714    1607641    1607715    both   
LmajorFriedlin_LmjF.36_98                                 LmajorFriedlin                   LmjF.36                          chromosome  +          -1         -1         2229440    2229624    ara    
LmajorFriedlin_LmjF.36_99                                 LmajorFriedlin                   LmjF.36                          chromosome  +          2468974    2469045    2468974    2469045    both   
LmajorFriedlin_LmjF.36_100                                LmajorFriedlin                   LmjF.36                          chromosome  -          2469836    2469917    2469835    2469917    both   
LmajorFriedlin_LmjF.36_101                                LmajorFriedlin                   LmjF.36                          chromosome  -          2469980    2470051    2469980    2470051    both   
LmajorFriedlin_LmjF.36_102                                LmajorFriedlin                   LmjF.36                          chromosome  +          2470124    2470195    2470124    2470196    both   
LmajorFriedlin_LmjF.36_103                                LmajorFriedlin                   LmjF.36                          chromosome  -          491569     491652     491568     491652     both   
LmajorFriedlin_LmjF.36_104                                LmajorFriedlin                   LmjF.36                          chromosome  -          491733     491804     491732     491804     both   
LmajorFriedlin_LmjF.36_105                                LmajorFriedlin                   LmjF.36                          chromosome  +          492629     492700     492629     492701     both   
LmajorFriedlin_LmjF.36_106                                LmajorFriedlin                   LmjF.36                          chromosome  +          492783     492866     492783     492867     both   
LmajorFriedlin_LmjF.36_107                                LmajorFriedlin                   LmjF.36                          chromosome  -          -1         -1         908912     909072     ara    
LmajorLV39c5_LmjLV39_02_1                                 LmajorLV39c5                     LmjLV39_02                       chromosome  +          -1         -1         208642     208733     ara    
LmajorLV39c5_LmjLV39_03_2                                 LmajorLV39c5                     LmjLV39_03                       chromosome  +          263659     263731     263659     263732     both   
LmajorLV39c5_LmjLV39_03_3                                 LmajorLV39c5                     LmjLV39_03                       chromosome  +          -1         -1         313016     313107     ara    
LmajorLV39c5_LmjLV39_04_4                                 LmajorLV39c5                     LmjLV39_04                       chromosome  -          -1         -1         224915     225119     ara    
LmajorLV39c5_LmjLV39_04_5                                 LmajorLV39c5                     LmjLV39_04                       chromosome  -          -1         -1         96387      96470      ara    
LmajorLV39c5_LmjLV39_05_6                                 LmajorLV39c5                     LmjLV39_05                       chromosome  +          357297     357368     357297     357368     both   
LmajorLV39c5_LmjLV39_06_7                                 LmajorLV39c5                     LmjLV39_06                       chromosome  -          -1         -1         109323     109413     ara    
LmajorLV39c5_LmjLV39_06_8                                 LmajorLV39c5                     LmjLV39_06                       chromosome  -          69898      69985      69898      69985      both   
LmajorLV39c5_LmjLV39_07_9                                 LmajorLV39c5                     LmjLV39_07                       chromosome  -          379421     379492     379421     379492     both   
LmajorLV39c5_LmjLV39_09_10                                LmajorLV39c5                     LmjLV39_09                       chromosome  +          264915     264986     264915     264986     both   
LmajorLV39c5_LmjLV39_09_11                                LmajorLV39c5                     LmjLV39_09                       chromosome  +          265045     265127     265045     265128     both   
LmajorLV39c5_LmjLV39_09_12                                LmajorLV39c5                     LmjLV39_09                       chromosome  +          394854     394926     394853     394928     both   
LmajorLV39c5_LmjLV39_09_13                                LmajorLV39c5                     LmjLV39_09                       chromosome  +          395179     395249     395179     395250     both   
LmajorLV39c5_LmjLV39_09_14                                LmajorLV39c5                     LmjLV39_09                       chromosome  -          395430     395502     395430     395502     both   
LmajorLV39c5_LmjLV39_09_15                                LmajorLV39c5                     LmjLV39_09                       chromosome  -          407826     407897     407826     407897     both   
LmajorLV39c5_LmjLV39_09_16                                LmajorLV39c5                     LmjLV39_09                       chromosome  -          408135     408207     408133     408208     both   
LmajorLV39c5_LmjLV39_09_17                                LmajorLV39c5                     LmjLV39_09                       chromosome  +          408282     408353     408282     408354     both   
LmajorLV39c5_LmjLV39_09_18                                LmajorLV39c5                     LmjLV39_09                       chromosome  +          408420     408490     408420     408491     both   
LmajorLV39c5_LmjLV39_10_19                                LmajorLV39c5                     LmjLV39_10                       chromosome  +          511627     511699     511627     511700     both   
LmajorLV39c5_LmjLV39_10_20                                LmajorLV39c5                     LmjLV39_10                       chromosome  -          511741     511811     511741     511811     both   
LmajorLV39c5_LmjLV39_10_21                                LmajorLV39c5                     LmjLV39_10                       chromosome  -          511868     511940     511867     511940     both   
LmajorLV39c5_LmjLV39_11_22                                LmajorLV39c5                     LmjLV39_11                       chromosome  -          158439     158520     158438     158520     both   
LmajorLV39c5_LmjLV39_11_23                                LmajorLV39c5                     LmjLV39_11                       chromosome  +          158594     158665     158594     158666     both   
LmajorLV39c5_LmjLV39_11_24                                LmajorLV39c5                     LmjLV39_11                       chromosome  -          373057     373129     373056     373130     both   
LmajorLV39c5_LmjLV39_11_25                                LmajorLV39c5                     LmjLV39_11                       chromosome  +          373206     373277     373205     373279     both   
LmajorLV39c5_LmjLV39_11_26                                LmajorLV39c5                     LmjLV39_11                       chromosome  +          -1         -1         492186     492365     ara    
LmajorLV39c5_LmjLV39_13_27                                LmajorLV39c5                     LmjLV39_13                       chromosome  -          -1         -1         246973     247060     ara    
LmajorLV39c5_LmjLV39_15_28                                LmajorLV39c5                     LmjLV39_15                       chromosome  +          306045     306116     306045     306117     both   
LmajorLV39c5_LmjLV39_15_29                                LmajorLV39c5                     LmjLV39_15                       chromosome  -          306157     306228     306156     306228     both   
LmajorLV39c5_LmjLV39_16_30                                LmajorLV39c5                     LmjLV39_16                       chromosome  +          -1         -1         138825     138896     ara    
LmajorLV39c5_LmjLV39_16_31                                LmajorLV39c5                     LmjLV39_16                       chromosome  -          444550     444621     444548     444622     both   
LmajorLV39c5_LmjLV39_17_32                                LmajorLV39c5                     LmjLV39_17                       chromosome  -          317359     317430     317358     317430     both   
LmajorLV39c5_LmjLV39_17_33                                LmajorLV39c5                     LmjLV39_17                       chromosome  +          317508     317588     317508     317588     both   
LmajorLV39c5_LmjLV39_17_34                                LmajorLV39c5                     LmjLV39_17                       chromosome  +          317650     317722     317649     317724     both   
LmajorLV39c5_LmjLV39_18_35                                LmajorLV39c5                     LmjLV39_18                       chromosome  -          -1         -1         271377     271486     ara    
LmajorLV39c5_LmjLV39_18_36                                LmajorLV39c5                     LmjLV39_18                       chromosome  +          -1         -1         551929     552069     ara    
LmajorLV39c5_LmjLV39_21_37                                LmajorLV39c5                     LmjLV39_21                       chromosome  -          159315     159395     159315     159395     both   
LmajorLV39c5_LmjLV39_21_38                                LmajorLV39c5                     LmjLV39_21                       chromosome  +          -1         -1         186364     186467     ara    
LmajorLV39c5_LmjLV39_21_39                                LmajorLV39c5                     LmjLV39_21                       chromosome  +          -1         -1         189414     189517     ara    
LmajorLV39c5_LmjLV39_21_40                                LmajorLV39c5                     LmjLV39_21                       chromosome  -          -1         -1         266785     266914     ara    
LmajorLV39c5_LmjLV39_21_41                                LmajorLV39c5                     LmjLV39_21                       chromosome  +          445509     445580     445509     445580     both   
LmajorLV39c5_LmjLV39_21_42                                LmajorLV39c5                     LmjLV39_21                       chromosome  +          445732     445805     445732     445806     both   
LmajorLV39c5_LmjLV39_21_43                                LmajorLV39c5                     LmjLV39_21                       chromosome  +          445868     445940     445868     445941     both   
LmajorLV39c5_LmjLV39_21_44                                LmajorLV39c5                     LmjLV39_21                       chromosome  +          -1         -1         476513     476671     ara    
LmajorLV39c5_LmjLV39_22_45                                LmajorLV39c5                     LmjLV39_22                       chromosome  -          -1         -1         390333     390474     ara    
LmajorLV39c5_LmjLV39_23_46                                LmajorLV39c5                     LmjLV39_23                       chromosome  -          -1         -1         154496     154608     ara    
LmajorLV39c5_LmjLV39_23_47                                LmajorLV39c5                     LmjLV39_23                       chromosome  -          -1         -1         216006     216188     ara    
LmajorLV39c5_LmjLV39_23_48                                LmajorLV39c5                     LmjLV39_23                       chromosome  +          230757     230830     230757     230830     both   
LmajorLV39c5_LmjLV39_23_49                                LmajorLV39c5                     LmjLV39_23                       chromosome  -          230875     230947     230875     230947     both   
LmajorLV39c5_LmjLV39_23_50                                LmajorLV39c5                     LmjLV39_23                       chromosome  -          231015     231086     231014     231087     both   
LmajorLV39c5_LmjLV39_23_51                                LmajorLV39c5                     LmjLV39_23                       chromosome  -          231334     231405     231333     231406     both   
LmajorLV39c5_LmjLV39_23_52                                LmajorLV39c5                     LmjLV39_23                       chromosome  -          231630     231712     231630     231712     both   
LmajorLV39c5_LmjLV39_23_53                                LmajorLV39c5                     LmjLV39_23                       chromosome  -          231773     231844     231772     231845     both   
LmajorLV39c5_LmjLV39_23_54                                LmajorLV39c5                     LmjLV39_23                       chromosome  +          231917     231988     231917     231989     both   
LmajorLV39c5_LmjLV39_23_55                                LmajorLV39c5                     LmjLV39_23                       chromosome  +          232303     232375     232303     232375     both   
LmajorLV39c5_LmjLV39_23_56                                LmajorLV39c5                     LmjLV39_23                       chromosome  -          232414     232485     232413     232485     both   
LmajorLV39c5_LmjLV39_23_57                                LmajorLV39c5                     LmjLV39_23                       chromosome  +          232561     232632     232561     232632     both   
LmajorLV39c5_LmjLV39_23_58                                LmajorLV39c5                     LmjLV39_23                       chromosome  +          -1         -1         733097     733269     ara    
LmajorLV39c5_LmjLV39_24_59                                LmajorLV39c5                     LmjLV39_24                       chromosome  +          222239     222310     222239     222310     both   
LmajorLV39c5_LmjLV39_24_60                                LmajorLV39c5                     LmjLV39_24                       chromosome  +          644647     644718     644646     644720     both   
LmajorLV39c5_LmjLV39_24_61                                LmajorLV39c5                     LmjLV39_24                       chromosome  -          644930     645011     644929     645012     both   
LmajorLV39c5_LmjLV39_24_62                                LmajorLV39c5                     LmjLV39_24                       chromosome  +          645099     645172     645099     645173     both   
LmajorLV39c5_LmjLV39_24_63                                LmajorLV39c5                     LmjLV39_24                       chromosome  +          646494     646567     646494     646568     both   
LmajorLV39c5_LmjLV39_24_64                                LmajorLV39c5                     LmjLV39_24                       chromosome  -          704171     704242     704171     704242     both   
LmajorLV39c5_LmjLV39_26_65                                LmajorLV39c5                     LmjLV39_26                       chromosome  +          -1         -1         65694      65799      ara    
LmajorLV39c5_LmjLV39_27_66                                LmajorLV39c5                     LmjLV39_27                       chromosome  -          -1         -1         181431     181529     ara    
LmajorLV39c5_LmjLV39_29_67                                LmajorLV39c5                     LmjLV39_29                       chromosome  -          817321     817402     817321     817402     both   
LmajorLV39c5_LmjLV39_29_68                                LmajorLV39c5                     LmjLV39_29                       chromosome  -          817461     817541     817461     817541     both   
LmajorLV39c5_LmjLV39_30_69                                LmajorLV39c5                     LmjLV39_30                       chromosome  -          751643     751714     751643     751714     both   
LmajorLV39c5_LmjLV39_31_70                                LmajorLV39c5                     LmjLV39_31                       chromosome  +          1279149    1279221    1279149    1279221    both   
LmajorLV39c5_LmjLV39_31_71                                LmajorLV39c5                     LmjLV39_31                       chromosome  -          1279274    1279354    1279273    1279354    both   
LmajorLV39c5_LmjLV39_31_72                                LmajorLV39c5                     LmjLV39_31                       chromosome  +          203858     203930     203858     203930     both   
LmajorLV39c5_LmjLV39_31_73                                LmajorLV39c5                     LmjLV39_31                       chromosome  +          476732     476802     476732     476802     both   
LmajorLV39c5_LmjLV39_31_74                                LmajorLV39c5                     LmjLV39_31                       chromosome  -          476848     476919     476847     476920     both   
LmajorLV39c5_LmjLV39_31_75                                LmajorLV39c5                     LmjLV39_31                       chromosome  +          -1         -1         994137     994213     ara    
LmajorLV39c5_LmjLV39_33_76                                LmajorLV39c5                     LmjLV39_33                       chromosome  -          106474     106546     106473     106546     both   
LmajorLV39c5_LmjLV39_33_77                                LmajorLV39c5                     LmjLV39_33                       chromosome  -          106606     106678     106605     106678     both   
LmajorLV39c5_LmjLV39_33_78                                LmajorLV39c5                     LmjLV39_33                       chromosome  +          106755     106826     106755     106827     both   
LmajorLV39c5_LmjLV39_33_79                                LmajorLV39c5                     LmjLV39_33                       chromosome  +          -1         -1         1080011    1080100    ara    
LmajorLV39c5_LmjLV39_33_80                                LmajorLV39c5                     LmjLV39_33                       chromosome  +          -1         -1         1348183    1348260    ara    
LmajorLV39c5_LmjLV39_33_81                                LmajorLV39c5                     LmjLV39_33                       chromosome  -          504030     504102     504029     504103     both   
LmajorLV39c5_LmjLV39_34_82                                LmajorLV39c5                     LmjLV39_34                       chromosome  +          -1         -1         1233536    1233631    ara    
LmajorLV39c5_LmjLV39_34_83                                LmajorLV39c5                     LmjLV39_34                       chromosome  -          1381163    1381235    1381162    1381235    both   
